name,website,X,Facebook
"Johnson, Julie",https://juliejohnson.house.gov/,https://twitter.com/RepJulieJohnson,https://www.facebook.com/profile.php?id=61569064997067
"Joyce, David",https://joyce.house.gov,https://twitter.com/RepDaveJoyce,https://www.facebook.com/RepDaveJoyce
"Jordan, Jim",https://jordan.house.gov/,https://twitter.com/jim_jordan,https://www.facebook.com/repjimjordan/photos_albums
"Kamlager-Dove, Sydney",https://kamlager-dove.house.gov,https://x.com/RepKamlagerDove,https://www.facebook.com/RepKamlagerDove/
"Kaptur, Marcy",https://kaptur.house.gov/,http://twitter.com/RepMarcyKaptur,http://www.facebook.com/RepMarcyKaptur
"Kelly, Mike",https://kelly.house.gov,https://twitter.com/MikeKellyPA,https://www.facebook.com/MikeKellyPA
"Kennedy, Mike",https://mikekennedy.house.gov/,https://x.com/repmikekennedy,https://www.facebook.com/RepMikeKennedy/
"Kean, Thomas",https://kean.house.gov,https://twitter.com/congressmankean,https://www.facebook.com/CongressmanKean/posts/pfbid02551mfMADRYYe4K26Dx8adywjeWvk5dFcLxEe3tXbcSyuP7VgBPLJZvWhPzS9rXFbl
"Keating, William",https://keating.house.gov/,https://twitter.com/USRepKeating,https://www.facebook.com/gop
"Kelly, Robin",https://robinkelly.house.gov/,https://twitter.com/reprobinkelly,https://www.facebook.com/reprobinkelly
"Kennedy, Timothy",https://kennedy.house.gov,https://twitter.com/reptimkennedy,https://facebook.com/reptimkennedy
"Khanna, Ro",https://khanna.house.gov,http://twitter.com/RepRoKhanna,http://www.facebook.com/RepRoKhanna
"Kelly, Trent",https://trentkelly.house.gov/,https://www.twitter.com/reptrentkelly,https://facebook.com/reptrentkelly
"Krishnamoorthi, Raja",https://krishnamoorthi.house.gov,http://twitter.com/congressmanraja,http://www.facebook.com/congressmanraja
"Kiley, Kevin",https://kiley.house.gov,https://twitter.com/RepKiley,https://www.facebook.com/profile.php?id=100089382125341
"Kustoff, David",https://kustoff.house.gov,http://twitter.com/repdavidkustoff,http://www.facebook.com/RepDavidKustoff/
"LaHood, Darin",https://lahood.house.gov/,https://twitter.com/RepLaHood,https://www.facebook.com/replahood/
"LaLota, Nick",https://lalota.house.gov,https://x.com/replalota,https://www.facebook.com/replalota
"Knott, Brad",https://knott.house.gov/,https://twitter.com/RepKnott,https://www.facebook.com/profile.php?id=61571474013264
"Kim, Young",https://youngkim.house.gov,https://twitter.com/RepYoungKim,https://www.facebook.com/RepYoungKim
"King-Hinds, Kimberlyn",https://king-hinds.house.gov/,https://twitter.com/RepKimKingHinds,https://www.facebook.com/profile.php?id=61571529818077
"Kiggans, Jennifer",https://kiggans.house.gov,https://twitter.com/RepJenKiggans,https://www.facebook.com/repjenkiggans
