name,website,district,state,region_category,party,committee
"Miller, Carol",https://miller.house.gov/,West Virginia 1st,West Virginia,state,R,Ways and Means
"Miller, Mary",https://marymiller.house.gov,Illinois 15th,Illinois,state,R,Agriculture|Education and Workforce|House Administration
"Miller, Max",https://maxmiller.house.gov,Ohio 7th,Ohio,state,R,"Science, Space, and Technology|Ways and Means"
"Miller-Meeks, Mariannette",https://millermeeks.house.gov/,Iowa 1st,Iowa,state,R,Energy and Commerce|Veterans' Affairs
"Mills, Cory",https://mills.house.gov,Florida 7th,Florida,state,R,Armed Services|Foreign Affairs
"Min, Dave",https://min.house.gov/,California 47th,California,state,D,Oversight and Government Reform|Natural Resources
"Moolenaar, John",https://moolenaar.house.gov/,Michigan 2nd,Michigan,state,R,Appropriations|Select Comm on the Strategic Competition US and China
"Moore, Barry",https://barrymoore.house.gov,Alabama 1st,Alabama,state,R,Agriculture|Judiciary
"Moore, Blake",https://blakemoore.house.gov,Utah 1st,Utah,state,R,Budget|Ways and Means
"Moore, Gwen",https://gwenmoore.house.gov,Wisconsin 4th,Wisconsin,state,D,Ways and Means
"Moore, Riley",https://rileymoore.house.gov/,West Virginia 2nd,West Virginia,state,R,Appropriations
"Moore, Tim",https://timmoore.house.gov/,North Carolina 14th,North Carolina,state,R,Financial Services|Budget
"Moran, Nathaniel",https://moran.house.gov,Texas 1st,Texas,state,R,Ethics|Ways and Means|Select Comm on the Strategic Competition US and China
"Morelle, Joseph",https://morelle.house.gov,New York 25th,New York,state,D,Appropriations|House Administration|Joint Committee of Congress on the Library
"Morrison, Kelly",https://morrison.house.gov/,Minnesota 3rd,Minnesota,state,D,Small Business|Veterans' Affairs
"Moskowitz, Jared",https://moskowitz.house.gov,Florida 23rd,Florida,state,D,"Foreign Affairs|Judiciary|Select Subcomm to Investigate Questions about Jan 6, 2021"
"Moulton, Seth",https://moulton.house.gov/,Massachusetts 6th,Massachusetts,state,D,Armed Services|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
"Moylan, James",https://moylan.house.gov,Guam Delegate,Guam,us_territories,R,Armed Services|Education and Workforce|Foreign Affairs
"Mrvan, Frank",https://mrvan.house.gov,Indiana 1st,Indiana,state,D,Appropriations
"Mullin, Kevin",https://kevinmullin.house.gov,California 15th,California,state,D,Energy and Commerce
"Murphy, Gregory",https://murphy.house.gov,North Carolina 3rd,North Carolina,state,R,House Administration|Veterans' Affairs|Ways and Means
"Nadler, Jerrold",https://nadler.house.gov,New York 12th,New York,state,D,Judiciary|Transportation and Infrastructure
"Neal, Richard",https://neal.house.gov/,Massachusetts 1st,Massachusetts,state,D,Joint Committee on Taxation|Ways and Means
"Neguse, Joe",https://neguse.house.gov/,Colorado 2nd,Colorado,state,D,Natural Resources|Judiciary|Rules
"Nehls, Troy",https://nehls.house.gov,Texas 22nd,Texas,state,R,"Judiciary|Transportation and Infrastructure|Select Subcomm to Investigate Questions about Jan 6, 2021"
"Newhouse, Dan",https://newhouse.house.gov,Washington 4th,Washington,state,R,Agriculture|Appropriations|Select Comm on the Strategic Competition US and China
"Norcross, Donald",https://norcross.house.gov,New Jersey 1st,New Jersey,state,D,Armed Services|Education and Workforce
